Date,Day,Month,New Cases,New Death,Total Recoverd,New Recovered,Total Death,Total Cases,Active Cases
17/07/2021,Saturday,July,69,8,223213,898,16439,283636,43984
18/07/2021,Sunday,July,67,7,223645,432,16446,283703,43612
19/07/2021,Monday,July,59,6,224299,654,16452,283762,43011
20/07/2021,Tuesday,July,51,5,225068,769,16457,283813,42288
21/07/2021,Wednesday,July,49,8,225869,801,16465,283862,41528
22/07/2021,Thursday,July,44,5,226535,666,16470,283906,40901
23/07/2021,Friday,July,41,7,227068,533,16477,283947,40402
24/07/2021,Saturday,July,38,4,227490,422,16481,283985,40014
25/07/2021,Sunday,July,39,6,227612,122,16487,284024,39925
26/07/2021,Monday,July,35,7,227970,358,16494,284059,39595
27/07/2021,Tuesday,July,31,4,228624,654,16498,284090,38968
28/07/2021,Wednesday,July,38,9,228836,212,16507,284128,38785
29/07/2021,Thursday,July,42,7,229167,331,16514,284170,38489
30/07/2021,Friday,July,45,4,229712,545,16518,284215,37985
31/07/2021,Saturday,July,47,6,230368,656,16524,284262,37370
01/08/2021,Sunday,August,49,4,230699,331,16528,284311,37084
02/08/2021,Monday,August,51,7,231259,560,16535,284362,36568
03/08/2021,Tuesday,August,53,5,232060,801,16540,284415,35815
04/08/2021,Wednesday,August,57,10,232179,119,16550,284472,35743
05/08/2021,Thursday,August,51,7,232280,101,16557,284523,35686
06/08/2021,Friday,August,57,5,232601,321,16562,284580,35417
07/08/2021,Saturday,August,61,4,232825,224,16566,284641,35250
08/08/2021,Sunday,August,65,9,233227,402,16575,284706,34904
09/08/2021,Monday,August,83,7,233298,71,16582,284789,34909
10/08/2021,Tuesday,August,86,6,233405,107,16588,284875,34882
11/08/2021,Wednesday,August,91,9,233517,112,16597,284966,34852
12/08/2021,Thursday,August,95,7,233729,212,16604,285061,34728
13/08/2021,Friday,August,97,5,233772,43,16609,285158,34777
14/08/2021,Saturday,August,99,6,233881,109,16615,285257,34761
15/08/2021,Sunday,August,101,4,234114,233,16619,285358,34625
16/08/2021,Monday,August,107,6,234250,136,16625,285465,34590
