Date,Day,Month,New Cases,New Death,Total Recoverd,New Recovered,Total Death,Total Cases,Active Cases,year
2021-05-19,Wednesday,5,1160,57,183696,1003,14498,249238,51044,2021
2021-05-20,Thursday,5,1153,61,184373,677,14559,250391,51459,2021
2021-05-21,Friday,5,1148,52,185243,870,14611,251539,51685,2021
2021-05-22,Saturday,5,1151,59,186223,980,14670,252690,51797,2021
2021-05-23,Sunday,5,1145,51,186678,455,14721,253835,52436,2021
2021-05-24,Monday,5,1149,45,187446,768,14766,254984,52772,2021
2021-05-25,Tuesday,5,1140,41,187691,245,14807,256124,53626,2021
2021-05-26,Wednesday,5,1151,43,188567,876,14850,257275,53858,2021
2021-05-27,Thursday,5,1132,54,189476,909,14904,258407,54027,2021
2021-05-28,Friday,5,1133,46,190254,778,14950,259540,54336,2021
2021-05-29,Saturday,5,1119,51,190733,479,15001,260659,54925,2021
2021-05-30,Sunday,5,1007,46,191475,742,15047,261666,55144,2021
2021-05-31,Monday,5,984,49,192112,637,15096,262650,55442,2021
2021-01-06,Tuesday,1,956,40,192823,711,15136,263606,55647,2021
2021-02-06,Wednesday,2,951,42,193491,668,15178,264557,55888,2021
2021-03-06,Thursday,3,932,44,194291,800,15222,265489,55976,2021
2021-04-06,Friday,4,861,46,195072,781,15268,266350,56010,2021
2021-05-06,Saturday,5,821,41,195871,799,15309,267171,55991,2021
2021-06-06,Sunday,6,801,43,196604,733,15352,267972,56016,2021
2021-07-06,Monday,7,782,47,197281,677,15399,268754,56074,2021
2021-08-06,Tuesday,8,773,38,197832,551,15437,269527,56258,2021
2021-09-06,Wednesday,9,765,34,198632,800,15471,270292,56189,2021
2021-10-06,Thursday,10,755,39,199285,653,15510,271047,56252,2021
2021-11-06,Friday,11,733,37,199840,555,15547,271780,56393,2021
2021-12-06,Saturday,12,711,35,200273,433,15582,272491,56636,2021
2021-06-13,Sunday,6,691,41,201038,765,15623,273182,56521,2021
2021-06-14,Monday,6,613,31,201739,701,15654,273795,56402,2021
2021-06-15,Tuesday,6,609,37,202650,911,15691,274404,56063,2021
2021-06-16,Wednesday,6,606,32,203193,543,15723,275010,56094,2021
2021-06-17,Thursday,6,591,37,203802,609,15760,275601,56039,2021
2021-06-18,Friday,6,589,31,204701,899,15791,276190,55698,2021
2021-06-19,Saturday,6,566,38,205157,456,15829,276756,55770,2021
2021-06-20,Sunday,6,532,30,205613,456,15859,277288,55816,2021
2021-06-21,Monday,6,509,39,206053,440,15898,277797,55846,2021
2021-06-22,Tuesday,6,498,37,206852,799,15935,278295,55508,2021
2021-06-23,Wednesday,6,466,32,207411,559,15967,278761,55383,2021
2021-06-24,Thursday,6,423,35,208192,781,16002,279184,54990,2021
2021-06-25,Friday,6,412,29,208957,765,16031,279596,54608,2021
2021-06-26,Saturday,6,409,31,209395,438,16062,280005,54548,2021
2021-06-27,Sunday,6,389,30,210052,657,16092,280394,54250,2021
2021-06-28,Monday,6,376,33,210482,430,16125,280770,54163,2021
2021-06-29,Tuesday,6,261,23,210805,323,16148,281031,54078,2021
2021-06-30,Wednesday,6,251,21,211384,579,16169,281282,53729,2021
2021-01-07,Thursday,1,242,25,212059,675,16194,281524,53271,2021
2021-02-07,Friday,2,198,21,212725,666,16215,281722,52782,2021
2021-03-07,Saturday,3,181,27,213628,903,16242,281903,52033,2021
2021-04-07,Sunday,4,179,22,214087,459,16264,282082,51731,2021
2021-05-07,Monday,5,175,20,214852,765,16284,282257,51121,2021
2021-06-07,Tuesday,6,164,22,215419,567,16306,282421,50696,2021
2021-07-07,Wednesday,7,161,26,216217,798,16332,282582,50033,2021
2021-08-07,Thursday,8,155,19,216982,765,16351,282737,49404,2021
2021-09-07,Friday,9,127,17,217324,342,16368,282864,49172,2021
2021-10-07,Saturday,10,121,15,217756,432,16383,282985,48846,2021
2021-11-07,Sunday,11,117,13,218412,656,16396,283102,48294,2021
2021-12-07,Monday,12,110,7,219291,879,16403,283212,47518,2021
2021-07-13,Tuesday,7,108,9,219525,234,16412,283320,47383,2021
2021-07-14,Wednesday,7,89,6,220530,1005,16418,283409,46461,2021
2021-07-15,Thursday,7,81,7,221516,986,16425,283490,45549,2021
2021-07-16,Friday,7,77,6,222315,799,16431,283567,44821,2021
2021-07-17,Saturday,7,69,8,223213,898,16439,283636,43984,2021
2021-07-18,Sunday,7,67,7,223645,432,16446,283703,43612,2021
2021-07-19,Monday,7,59,6,224299,654,16452,283762,43011,2021
2021-07-20,Tuesday,7,51,5,225068,769,16457,283813,42288,2021
2021-07-21,Wednesday,7,49,8,225869,801,16465,283862,41528,2021
2021-07-22,Thursday,7,44,5,226535,666,16470,283906,40901,2021
2021-07-23,Friday,7,41,7,227068,533,16477,283947,40402,2021
2021-07-24,Saturday,7,38,4,227490,422,16481,283985,40014,2021
2021-07-25,Sunday,7,39,6,227612,122,16487,284024,39925,2021
2021-07-26,Monday,7,35,7,227970,358,16494,284059,39595,2021
2021-07-27,Tuesday,7,31,4,228624,654,16498,284090,38968,2021
2021-07-28,Wednesday,7,38,9,228836,212,16507,284128,38785,2021
2021-07-29,Thursday,7,42,7,229167,331,16514,284170,38489,2021
2021-07-30,Friday,7,45,4,229712,545,16518,284215,37985,2021
2021-07-31,Saturday,7,47,6,230368,656,16524,284262,37370,2021
2021-01-08,Sunday,1,49,4,230699,331,16528,284311,37084,2021
2021-02-08,Monday,2,51,7,231259,560,16535,284362,36568,2021
2021-03-08,Tuesday,3,53,5,232060,801,16540,284415,35815,2021
2021-04-08,Wednesday,4,57,10,232179,119,16550,284472,35743,2021
2021-05-08,Thursday,5,51,7,232280,101,16557,284523,35686,2021
2021-06-08,Friday,6,57,5,232601,321,16562,284580,35417,2021
2021-07-08,Saturday,7,61,4,232825,224,16566,284641,35250,2021
2021-08-08,Sunday,8,65,9,233227,402,16575,284706,34904,2021
2021-09-08,Monday,9,83,7,233298,71,16582,284789,34909,2021
2021-10-08,Tuesday,10,86,6,233405,107,16588,284875,34882,2021
2021-11-08,Wednesday,11,91,9,233517,112,16597,284966,34852,2021
2021-12-08,Thursday,12,95,7,233729,212,16604,285061,34728,2021
2021-08-13,Friday,8,97,5,233772,43,16609,285158,34777,2021
2021-08-14,Saturday,8,99,6,233881,109,16615,285257,34761,2021
2021-08-15,Sunday,8,101,4,234114,233,16619,285358,34625,2021
2021-08-16,Monday,8,107,6,234250,136,16625,285465,34590,2021
